,date,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - 4 hours to decision,Type 2 Departments - 4 hours to decision,Type 3 Departments - 4 hours to decision,Percentage in 4 hours or less (all),Emergency Admissions via Type 1 A&E in 4 hours,Emergency Admissions via Type 2 A&E in 4 hours,Emergency Admissions via Type 3 and 4 A&E in 4 hours,Other Emergency admissions (i.e not via A&E),Number of patients spending >12 hours from decision to admit to admission,month,year,lat,lon
92,2010-11-01,Greyfriars Health Centre,0.0,0.0,634.0,634.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,44.0,8040.0,,
93,2010-11-01,Guy'S And St Thomas' NHS Foundation Trust,10174.0,1052.0,960.0,12186.0,553.0,0.0,0.0,3.8194642226100113,2657.0,19.0,0.0,463.0,0.0,44.0,8040.0,,
94,2010-11-01,Halton And St Helens Primary Care Trust,0.0,0.0,8199.0,8199.0,0.0,0.0,1.0,3.99951171875,0.0,0.0,0.0,0.0,0.0,44.0,8040.0,51.30689999999997,-2.5027000000000004
95,2010-11-01,Hammersmith And Fulham Primary Care Trust,0.0,0.0,1535.0,1535.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,44.0,8040.0,51.49280000000002,-0.22289999999999996
96,2010-11-01,Hampshire Primary Care Trust,0.0,0.0,1536.0,1536.0,0.0,0.0,0.0,4.0,0.0,0.0,76.0,106.0,0.0,44.0,8040.0,52.283333330000005,-0.8333333299999999
97,2010-11-01,Harold Wood Walk In Centre,0.0,0.0,2996.0,2996.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,44.0,8040.0,,
98,2010-11-01,Harrogate And District NHS Foundation Trust,3133.0,0.0,0.0,3133.0,45.0,0.0,0.0,3.942069241551311,704.0,0.0,0.0,472.0,0.0,44.0,8040.0,53.99194444000003,-1.53777778
99,2010-11-01,Havering Primary Care Trust,0.0,0.0,3242.0,3242.0,0.0,0.0,38.0,3.953067986845324,0.0,0.0,0.0,0.0,0.0,44.0,8040.0,51.55,0.21666666999999984
100,2010-11-01,Heart Of England NHS Foundation Trust,17320.0,0.0,0.0,17320.0,1521.0,0.0,0.0,3.6495039910849214,10078.0,0.0,0.0,1500.0,0.0,44.0,8040.0,51.3902,-0.5073999999999997
101,2010-11-01,Heart of Birmingham Teaching PCT,0.0,0.0,1836.0,1836.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33.0,6030.0,51.3902,-0.5073999999999997
102,2010-11-01,Heatherwood And Wexham Park Hospitals NHS Foundation Trust,6853.0,0.0,1440.0,8293.0,457.0,0.0,0.0,3.779089443190464,1918.0,0.0,0.0,479.0,0.0,44.0,8040.0,51.410792,-0.6867820000000001
103,2010-11-01,Hereford Hospitals NHS Trust,3437.0,0.0,0.0,3437.0,230.0,0.0,0.0,3.734347104669976,863.0,0.0,0.0,668.0,2.0,44.0,8040.0,51.75083333,-1.2224999999999997
104,2010-11-01,Herefordshire Primary Care Trust,0.0,0.0,439.0,439.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,54.0,0.0,44.0,8040.0,51.81666667,-0.21666666999999984
105,2010-11-01,Hertfordshire Community NHS Trust,0.0,0.0,534.0,534.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,44.0,8040.0,51.81666667,-0.21666666999999984
106,2010-11-01,Hertfordshire PCT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,8040.0,51.81666667,-0.21666666999999984
107,2010-11-01,Hinchingbrooke Healthcare NHS Trust,2573.0,0.0,0.0,2573.0,28.0,0.0,0.0,3.9563014178802747,541.0,0.0,0.0,346.0,0.0,44.0,8040.0,52.3329,-0.20109999999999997
108,2010-11-01,Homerton University Hospital NHS Foundation Trust,5946.0,0.0,2384.0,8330.0,267.0,0.0,5.0,3.8697092249165816,2290.0,0.0,0.0,312.0,0.0,44.0,8040.0,51.550399999999996,-0.048299999999999996
109,2010-11-01,Hounslow Primary Care Trust,0.0,0.0,3325.0,3325.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,44.0,8040.0,,
110,2010-11-01,Hull And East Yorkshire Hospitals NHS Trust,8562.0,0.0,373.0,8935.0,228.0,0.0,0.0,3.8977268526810382,2616.0,0.0,0.0,1555.0,0.0,44.0,8040.0,52.41299999999999,-1.7779999999999996
111,2010-11-01,Hull Teaching Primary Care Trust,0.0,0.0,1004.0,1004.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,44.0,8040.0,52.41299999999999,-1.7779999999999996
112,2010-11-01,Ilkeston Family Practice & Walk In Ctr,0.0,0.0,1008.0,1008.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,44.0,8040.0,52.97099999999997,-1.3089999999999997
113,2010-11-01,Imperial College Healthcare NHS Trust,9520.0,2358.0,7105.0,18983.0,411.0,0.0,3.0,3.912743320158111,3624.0,0.0,0.0,285.0,0.0,44.0,8040.0,,
114,2010-11-01,Ipswich Hospital NHS Trust,4480.0,0.0,0.0,4480.0,123.0,0.0,0.0,3.890498129607496,1380.0,0.0,0.0,1101.0,0.0,44.0,8040.0,52.05699999999998,1.1979
115,2010-11-01,Isle Of Wight NHS Primary Care Trust,2635.0,0.0,1554.0,4189.0,52.0,0.0,0.0,3.9501059408268335,524.0,0.0,0.0,358.0,0.0,44.0,8040.0,54.89100000000001,-2.9439999999999986
116,2010-11-01,James Paget University Hospitals NHS Foundation Trust,4751.0,0.0,0.0,4751.0,102.0,0.0,0.0,3.9147594414830933,969.0,0.0,0.0,523.0,0.0,44.0,8040.0,52.56169999999999,1.7177
117,2010-11-01,Kensington And Chelsea Primary Care Trust,0.0,0.0,2036.0,2036.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,44.0,8040.0,55.180999999999976,-1.5679999999999996
118,2010-11-01,Kettering General Hospital NHS Foundation Trust,5086.0,241.0,1095.0,6422.0,289.0,0.0,0.0,3.8200686336741656,1470.0,0.0,0.0,642.0,0.0,44.0,8040.0,40.764096,-73.95684199999998
119,2010-11-01,King'S College Hospital NHS Foundation Trust,9537.0,1779.0,0.0,11316.0,327.0,0.0,0.0,3.884340223985785,1924.0,0.0,0.0,0.0,0.0,44.0,8040.0,,
120,2010-11-01,Kingston Hospital NHS Trust,7996.0,586.0,0.0,8582.0,153.0,0.0,0.0,3.9286718038307185,1347.0,0.0,0.0,110.0,0.0,44.0,8040.0,51.414499999999975,-0.2815999999999999
121,2010-11-01,Kirklees Primary Care Trust,0.0,0.0,369.0,369.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,44.0,8040.0,,
